,NUMBER,STREET,UNIT,CITY,DISTRICT,COUNTRY,REGION,POSTCODE,ID
13183,25,Johannes-R.-Becher-Straße,,Gera,,de,,,
329743,7,Gäßchen,,Nesse-Apfelstädt,,de,,,
112225,10,Gustav-Freytag-Straße,,Weimar,,de,,,
232985,40a,Alte Poststraße,,St.Kilian,,de,,,
69390,10,Lange Gasse,,Schmölln,,de,,,
462212,9,Kohlgasse,,Arnstadt,,de,,,
492447,19,Kreisstraße,,Judenbach,,de,,,
557502,10,Mühlhäuser Straße,,Küllstedt,,de,,,
317059,23,Högstraße,,Tambach-Dietharz/Thür. Wald,,de,,,
219487,13,Kirchweg,,Grabfeld,,de,,,
232288,2,Am Wasser,,Schmeheim,,de,,,
296223,5,Unterstraße,,Döllstädt,,de,,,
77673,11,Max-Steenbeck-Straße,,Erfurt,,de,,,
4019,39,Kiefernstraße,,Gera,,de,,,
154953,13a,Rudolf-Breitscheid-Straße,,Blankenhain,,de,,,
258212,5a,Gartenweg,,Berka/Werra,,de,,,
120070,26,In den Dammwiesen,,Alperstedt,,de,,,
326092,12,Straße der Einheit,,Leinatal,,de,,,
104160,30,Friedrich-Engels-Straße,,Erfurt,,de,,,
91759,62,Marcel-Breuer-Ring,,Erfurt,,de,,,
464223,26,Ilmenauer Straße,,Elgersburg,,de,,,
350756,41,Jenaische Straße,,Bad Klosterlausnitz,,de,,,
62444,7,Zipsendorfer Weg,,Meuselwitz,,de,,,
351998,51,Über dem Dorfe,,Bucha,,de,,,
407710,17,Dr.-Kremser-Straße,,Ellrich,,de,,,
299005,5,Am Bahnhof,,Friedrichswerth,,de,,,
164217,41,Im Dorfe,,Nauendorf,,de,,,
69797,6,Am Teich,,Schmölln,,de,,,
410666,3,Klostergasse,,Neustadt/Harz,,de,,,
79580,29,Alfred-Hess-Straße,,Erfurt,,de,,,
256921,8,Zur Neuen Schule,,Barchfeld-Immelborn,,de,,,
492879,32,Köppleinstraße,,Lauscha,,de,,,
535107,3,Obercatharinau,,Uhlstädt-Kirchhasel,,de,,,
448517,7,Vor dem Jechator,,Sondershausen,,de,,,
25632,215,Reichenbacher Straße,,Greiz,,de,,,
70960,3,Heimstättenstraße,,Schmölln,,de,,,
233409,13,Im Erletal,,St.Kilian,,de,,,
162036,12,Flurblick,,Kromsdorf,,de,,,
186704,18,Sophienstraße,,Frankenheim/Rhön,,de,,,
385162,85,Thomas-Müntzer-Straße,,Neustadt an der Orla,,de,,,
284915,14,Landstraße,,Gerstungen,,de,,,
565898,6,Dünweg,,Leinefelde-Worbis,,de,,,
282550,22,Schlehenweg,,Wutha-Farnroda,,de,,,
75502,4,Am Kirchanger,,Erfurt,,de,,,
180927,5,Meininger Straße,,Breitungen/Werra,,de,,,
216233,77,Heinrich-Ehrhardt-Straße,,Zella-Mehlis,,de,,,
9261,63,Straße des Bergmanns,,Gera,,de,,,
277932,19,Laite,,Urnshausen,,de,,,
373849,22,Dorfstraße,,Waltersdorf,,de,,,
279188,2,Meierei,,Vacha,,de,,,
550037,15,Bergstraße,,Heilbad Heiligenstadt,,de,,,
303202,29,Molschleber Straße,,Gotha,,de,,,
480536,25,Hauptstraße,,Langewiesen,,de,,,
526844,10,Melanchthonstraße,,Saalfeld/Saale,,de,,,
578108,5,Mühlenstraße,,Ballhausen,,de,,,
231661,44a,Talstraße,,Schleusingen,,de,,,
151546,48,Bartold-Asendorpf-Straße,,Bad Berka,,de,,,
218124,45,Hermannsfelder Straße,,Rhönblick,,de,,,
150111,20,Unter der Steinrütsche,,Bad Berka,,de,,,
475554,18,Südring,,Ilmenau,,de,,,
582184,11,Straße der Einheit,,Kammerforst,,de,,,
60853,6,Friedrich-Engels-Straße,,Lucka,,de,,,
400371,3,Am Teich,,Wurzbach,,de,,,
489153,44,Ehrenstein,,Ilmtal,,de,,,
81387,4,Siedlung,,Erfurt,,de,,,
536693,2a,Bahnhofstraße,,Uhlstädt-Kirchhasel,,de,,,
541624,8,Bleckenröder Straße,,Berlingerode,,de,,,
516918,101a,Sonneberger Straße,,Oberweißbach/Thür. Wald,,de,,,
261347,32,Siedlung,,Dermbach,,de,,,
335939,10,Kefersteinstraße,,Jena,,de,,,
315346,188,Gothaer Straße,,Sonneborn,,de,,,
465338,125a,Nordstraße,,Frauenwald,,de,,,
206680,13,Schäfergasse,,Stepfershausen,,de,,,
7109,67,Kurt-Keicher-Straße,,Gera,,de,,,
425784,2,Ernst-Thälmann-Straße,,Heringen/Helme,,de,,,
478786,1a,Krankenhausstraße,,Ilmenau,,de,,,
535662,13,Weißen,,Uhlstädt-Kirchhasel,,de,,,
49335,22,Bertolt-Brecht-Straße,,Altenburg,,de,,,
361221,12,Alte Regensburger Straße,,Hermsdorf,,de,,,
232937,11,Alte Poststraße,,St.Kilian,,de,,,
178137,23,Heidersbacher Straße,,Suhl,,de,,,
180094,72,Sandgasse,,Benshausen,,de,,,
598220,5,Mühlhäuser Straße,,Unstruttal,,de,,,
273026,7,Märzenborn,,Stadtlengsfeld,,de,,,
247049,16,Ernst-Thälmann-Straße,,Eisenach,,de,,,
326469,6,Am Johannisberg,,Leinatal,,de,,,
49558,78,Brunnenstraße,,Altenburg,,de,,,
156321,15,Dorfanger,,Blankenhain,,de,,,
328942,176,Alleestraße,,Drei Gleichen,,de,,,
571540,22,Hauptstraße,,Altengottern,,de,,,
207582,21,Invalidenstraße,,Brotterode-Trusetal,,de,,,
345827,18,Am Rasen,,Jena,,de,,,
518437,37,Limbach,,Probstzella,,de,,,
543144,24,Gartenstraße,,Breitenworbis,,de,,,
192472,5,Brückenweg,,Meiningen,,de,,,
331194,1e,Gotterstraße,,Nesse-Apfelstädt,,de,,,
537226,13,Vogelschutz,,Unterwellenborn,,de,,,
161740,3,Über der Mühle,,Kromsdorf,,de,,,
412698,76,Darrweg,,Nordhausen,,de,,,
